retweeted_status.possibly_sensitive,retweeted_status.retweet_count,retweeted_status.retweeted,retweeted_status.favorite_count,retweeted_status.geo
,1,false,1,
,,,,
false,20,false,23,
,,,,
false,38,false,20,
false,124,false,111,
false,2,false,0,
false,42,false,64,
false,1,false,0,
false,67,false,128,
,,,,
,,,,
false,2,false,4,
false,204,false,397,
true,26,false,22,
,,,,
false,81,false,268,
false,140,false,112,
,,,,
,,,,
false,78,false,84,
,,,,
false,2,false,2,
false,39,false,20,
,,,,
false,43,false,65,
false,6,false,3,
false,6,false,3,
false,963,false,1857,
,85,false,163,
,,,,
false,9,false,1,
,,,,
,12,false,17,
,,,,
false,103,false,219,
false,40,false,21,
false,330,false,231,
,6,false,6,
false,108,false,106,
,,,,
,,,,
false,305,false,384,
false,29,false,51,
false,4,false,5,
,,,,
,,,,
false,68,false,128,
false,3,false,5,
,66,false,7,
false,85,false,138,
false,109,false,125,
false,72,false,70,
false,1008,false,991,
false,11,false,2,
false,510,false,616,
,69,false,50,
,19,false,34,
false,205,false,398,
,,,,
false,495,false,516,
,192,false,193,
false,65,false,76,
false,3,false,1,
,,,,
false,69,false,129,
false,32,false,21,
,,,,
false,9,false,11,
,,,,
false,68,false,282,
false,70,false,129,
,86,false,166,
,187,false,187,
,,,,
,,,,
false,8,false,4,
,1,false,6,
false,71,false,132,
,,,,
,,,,
,,,,
,,,,
,188,false,188,
,,,,
,87,false,166,
,,,,
false,306,false,385,
false,47,false,118,
false,5,false,8,
false,72,false,134,
false,1166,false,958,
,,,,
false,55,false,81,
,,,,
,70,false,50,
,,,,
false,17,false,31,
,,,,
false,1167,false,959,
false,18,false,32,
,,,,
,,,,
false,141,false,112,
,,,,
,,,,
false,239,false,205,
false,73,false,136,
false,73,false,70,
,,,,
,,,,
false,10,false,11,
,,,,
false,114,false,156,
false,44,false,65,
,1,false,0,
,2,false,0,
,3,false,0,
,4,false,0,
,,,,
false,194,false,249,
,5,false,0,
,6,false,0,
,7,false,0,
false,246,false,396,
,,,,
,8,false,0,
false,23,false,16,
,9,false,0,
,10,false,0,
,,,,
,11,false,0,
,,,,
false,101,false,150,
false,89,false,236,
,35,false,19,
,,,,
,,,,
false,9,false,12,
,,,,
,,,,
,,,,
,67,false,7,
false,53,false,127,
false,1,false,1,
false,29,false,114,
false,74,false,138,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
false,65,false,150,
,,,,
,,,,
,,,,
false,1,false,0,
false,5,false,5,
false,56,false,86,
false,21,false,49,
false,48,false,42,
false,118,false,186,
false,2,false,0,
,,,,
false,19,false,8,
,,,,
false,57,false,106,
,,,,
false,8,false,2,
,,,,
false,1,false,2,
false,115,false,156,
,,,,
false,74,false,71,
false,2770,false,5891,
false,32,false,39,
false,1,false,0,
,,,,
,,,,
false,318,false,518,
false,2,false,1,
,105,false,479,
false,2,false,1,
,,,,
false,1168,false,960,
false,2,false,1,
,,,,
,,,,
false,9,false,3,
,,,,
false,45,false,65,
false,3,false,1,
,,,,
false,247,false,400,
false,2,false,10,
,,,,
false,14,false,31,
false,22,false,23,
false,1,false,1,
false,1,false,0,
false,102,false,152,
false,13,false,13,
false,12,false,21,
,,,,
,,,,
false,116,false,157,
false,117,false,157,
false,2770,false,5892,
,,,,
,88,false,170,
false,240,false,205,
,,,,
false,1,false,0,
false,15,false,0,
false,49,false,34,
,,,,
false,8,false,1,
false,74,false,141,
,,,,
,,,,
false,545,false,2206,
false,11,false,10,
,,,,
false,75,false,141,
false,29,false,35,
,,,,
,,,,
false,3,false,12,
false,23,false,23,
false,30,false,52,
,,,,
false,3,false,0,
,,,,
false,81,false,141,
,,,,
,89,false,170,
,,,,
,,,,
false,76,false,143,
false,76,false,143,
false,1169,false,960,
,,,,
,,,,
false,1100,false,1276,
,,,,
true,1675,false,1647,
false,307,false,388,
