id_str,possibly_sensitive,favorite_count,geo,text,coordinates
842422226196418560,,0,,"RT @Pamela_Moore13: Trump Was Right!
.@Judgenap: Three intel sources have disclosed that Pres. Obama turned to British spies to get sur… ",
842422210543407104,,0,,"RT @DumpTrump22: For a guy who WINS all the time, #Trump Loses EVERY day
- Another #MuslimBan collapsed
- #TrumpCare is a disaster
-… ",
842422231510712320,false,0,,"RT @LynnDe6: #Trump is good at diverting scandal with scandal!
#resist https://t.co/nmvnTFOOiO",
842422231988883456,false,0,,"RT @RealAlexJones: .@McDonaldsCorp Show us the email from Twitter proving you were ""compromised"" - https://t.co/SbjBTOtWI4 #imlovingit #Tru…",
842422233859559424,,0,,"RT @JaySekulow: President #Trump responds to the blocking of his Exec Order: ""This is an unprecedented judicial overreach."" https://t.co/ZD…",
842422237001052160,false,0,,"RT @RealAlexJones: .@McDonaldsCorp Show us the email from Twitter proving you were ""compromised"" - https://t.co/SbjBTOtWI4 #imlovingit #Tru…",
842422238389362692,,0,,"RT @LVNancy: In 2016, ICE conducted 240,255 removals nationwide

92% had previously been convicted of a crime 
#TRUMP 
#MAGA
https://t.co/f…",
842422239400235014,,0,,"RT @funder: .#Breaking:The GOP took $20,400 from Russian Real Estate Exec

#resist #trumprussia #russiagate #russia… ",
842422240620740608,,0,,RT @JaySekulow: The fight over #Trump's Exec Order will go to #SCOTUS. We're preparing new legal briefs to defend it. https://t.co/7rNgM8OD…,
842422241371521024,,0,,"RT @KevinJacksonTBS: Hey Bonehead, #Trump paid $38 MILLION in TAXES so your single-mom would raise idiots like you! LOL https://t.co/o7gMV6…",
842422241555968000,false,0,,"#ANTM #FlashbackFriday #investing #equity #market #Trump Burger sells for $10,000 in Dubai  . https://t.co/kZG25dQiTq",
842422241900003328,,0,,"RT @ACLJ: Pres #Trump's order is designed to protect our nation from #ISIS, yet leftist groups are protesting it. Fight back:… ",
842422243804237824,false,0,,"RT @FoxNews: .@McDonalds' Twitter account hacked, blasts President #Trump https://t.co/Ak3d9jrwfE",
842422244341096448,false,0,,Your little Honey Boo Boo kids are not gonna stand for it. Stop playing. https://t.co/IeHOm3lADQ,
842422247599951872,false,0,,RT @ignatzz: https://t.co/tUusYoqdpY #trump #uniteblue #gorka #sebastiangorka,
842422249340710912,,0,,RT @JaySekulow: The blocking of President #Trump's order by two federal judges represents a fundamental misunderstanding of the First Amend…,
842422249546256386,false,0,,#trump #trumpmeansfart https://t.co/uL718XJdKC,
842422250846347264,false,0,,RT @EmmaWatson: #WomensMarch https://t.co/HkSrOqFTmk,
842422251093938178,false,0,,@alisishaq #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422251488182275,false,0,,"The #budget, when it sees #Trump coming. #skinnybudget #Budget2017 https://t.co/l2qGxdDTa2",
842422253279158276,,0,,RT @SilverAdie: #With each passing day there's another reason to independently investigate and impeach #Trump. #ThursdayThoughts… ,
842422253702791168,,0,,"RT @BlueHumanity: #Trump: ""Don't worry America! I'm cutting #MealsOnWheels, but I'll Let You Eat Cake! Believe Me folks! You'll be ea… ",
842422255690833920,,0,,"RT @ANOMALY1: Home Depot co-founder @KennethLangone👉""#PresidentTrump @POTUS Could TurnOut 2 Be One of #America's Best Presidents… ",
842422255569244161,,0,,"RT @MakeMediaHonest: AMEN‼️‼️‼️@JoeHNewYork 
#BoycottHawaii 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸… ",
842422258727444480,,0,,"RT @RJGatorEsq: Just to be clear... you want us to borrow money from China to pay for your dancing.
Pres. #Trump: Keep cutting.… ",
842422259058794496,,0,,RT @DonaldJTrumpJr: Who else knew that Rachel Maddow was a Republican???#ThankYouMaddow #maga #trump #TrumpTaxReturn,
842422259004407808,,0,,RT @KitDaniels1776: Was Obama Insider Robert Gibbs Behind McDonald’s Anti #Trump Tweet? He's #McDonalds Communications Chief:… ,
842422260451422210,,0,,"RT @pokerpro23: 🇺🇸🇺🇸#Arrogant #Moron

Apparently @jbarro you learned nothing from @HillaryClinton's #basketofdeplorables comment.… ",
842422261256728576,false,0,,@allahcentric #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422266566737920,,0,,RT @me_the_investor: #NATO might look very different Under #Trump as his focus is #America &amp; not wasting billions on outsiders https://t.co…,
842422267107778560,,0,,RT @immigrant4trump: Video: Black Americans abandoning Democrats as party implodes: Trump has vowed to improve inner cities. #Trump https:/…,
842422267120386050,,0,,RT @KitDaniels1776: Was Obama Insider Robert Gibbs Behind McDonald’s Anti #Trump Tweet? He's #McDonalds Communications Chief:… ,
842422267787202560,false,0,,"Rogue #IRS Felons Vindicate #Trump
https://t.co/MEcw99iPKj #MAGA #UniteBlue

self-righteous statist media willingly traffics in stolen goods",
842422271549550592,false,0,,@AlohaRashid #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422272472240128,,0,,RT @StopTrump2020: We must not allow the #antisemitic &amp; #racist followers of #Trump to think this is OK.  This nation is better than t… ,
842422273571196928,,0,,"RT @Thomas1774Paine: Now, #TruePundit Reveals McCabe Openly Tells FBI: ""I Hate Trump"" ... **RT**RT**RT** #Trump #russiagate… ",
842422281456488448,false,0,,@alsharifpasha #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422283213795332,,0,,"RT @badgirl_loony: INVESTIGATE #TRUMP's TIES TO #PUTIN &amp; #RUSSIA!

WE NEED AN INDEPENDENT INQUIRY! 

#TheResistance #Election2016… ",
842422285956993024,false,0,,"RT @RT_com: #McDonald’s Twitter account brands #Trump ‘disgusting excuse of a president’ 
https://t.co/BGt1PRkwxC https://t.co/fvTpOg2h7Z",
842422286183456768,false,0,,"RT @RealAlexJones: .@McDonaldsCorp Show us the email from Twitter proving you were ""compromised"" - https://t.co/SbjBTOtWI4 #imlovingit #Tru…",
842422288100261888,,0,,"RT @RJGatorEsq: Illegal alien's sweatshirt: ""THEY CAN'T DEPORT US ALL.""

Heh. Hold my beer and watch this.

#Trump #BuildTheWall… ",
842422288909778945,,0,,RT @CodeAud: #SaudiArabia warns #Trump: #Iran wants legitimacy by supporting terror groups with the aim of reaching #Mecca… ,
842422290553921540,,0,,RT @LeeCamp: #Trump &amp; GOP bought by Wall Street. Dems bought by Wall Street. Stop defending them. The best slaves don't know they're slaves.,
842422288440033280,false,0,,#Trump it or not - Unbelievable ? -&gt; https://t.co/UokBHsdq54 https://t.co/CTNoSSzBq0,
842422290713313280,false,0,,"#Trump only wants more overseas wars &amp; tax cuts for billionaires. Had enough, #TrumpDontCare voters? https://t.co/RCrcB2ravV",
842422291698970625,false,0,,@altafahmed55 #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422297843625984,false,0,,"RT @RealAlexJones: .@McDonaldsCorp Show us the email from Twitter proving you were ""compromised"" - https://t.co/SbjBTOtWI4 #imlovingit #Tru…",
842422300435701761,false,0,,The latest The PeaceEducationCenter Daily! https://t.co/Af5rilPVbQ Thanks to @DrHCaldicott @stevesharra @NathanTriplett #trump #bds,
